experiment,speakers,noise,samples,layer_size,accuracy,recall,fp_hour,duration_sec
p3_spk150_noise_smp7500_lay128,150,noise,7500,128,0.753000020980835,0.5180000066757202,3.3628318309783936,459
p3_spk150_noise_smp7500_lay192,150,noise,7500,192,0.8510000109672546,0.7046666741371155,3.805309772491455,461
p3_spk200_clean_smp7500_lay128,200,clean,7500,128,0.8943333625793457,0.7946666479110718,19.9115047454834,710
p3_spk200_clean_smp7500_lay128,200,clean,7500,128,0.9003333449363708,0.8113333582878113,4.159292221069336,452
p3_spk200_clean_smp7500_lay192,200,clean,7500,192,0.9003333449363708,0.8113333582878113,4.159292221069336,3
p3_spk150_noise_smp7500_lay192,150,noise,7500,192,0.934499979019165,0.8759999871253967,5.22123908996582,452
p3_spk200_clean_smp5000_lay128,200,clean,5000,128,0.934499979019165,0.8759999871253967,5.22123908996582,448
p3_spk200_noise_smp5000_lay128,200,noise,5000,128,0.934499979019165,0.8759999871253967,5.22123908996582,179
p3_spk200_clean_smp5000_lay192,200,clean,5000,192,0.8734999895095825,0.7549999952316284,0.7079645991325378,429
p3_spk200_clean_smp5000_lay128,200,clean,5000,128,0.9350000023841858,0.875,3.805309772491455,434
p3_spk200_clean_smp7500_lay192,200,clean,7500,192,0.8106666803359985,0.6286666393280029,0.0,684
p3_spk200_noise_smp5000_lay192,200,noise,5000,192,0.7315000295639038,0.4659999907016754,2.654867172241211,619
p3_spk200_clean_smp7500_lay128,200,clean,7500,128,0.8700000047683716,0.7440000176429749,0.7079645991325378,453
p3_spk200_clean_smp5000_lay192,200,clean,5000,192,0.8700000047683716,0.7440000176429749,0.7079645991325378,451
p3_spk200_noise_smp5000_lay128,200,noise,5000,128,0.7325000166893005,0.4659999907016754,2.4778761863708496,425
p3_spk200_clean_smp7500_lay192,200,clean,7500,192,0.8933333158493042,0.7960000038146973,15.486725807189941,450
p3_spk200_clean_smp7500_lay128,200,clean,7500,128,0.8933333158493042,0.7960000038146973,15.486725807189941,449
p3_spk200_noise_smp5000_lay192,200,noise,5000,192,0.7275000214576721,0.4569999873638153,3.008849620819092,460
p3_spk200_noise_smp7500_lay128,200,noise,7500,128,0.8209999799728394,0.6433333158493042,0.9734513163566589,706
p3_spk200_noise_smp5000_lay128,200,noise,5000,128,0.8209999799728394,0.6493333578109741,0.0,437
p3_spk200_clean_smp7500_lay192,200,clean,7500,192,0.8209999799728394,0.6493333578109741,0.0,438
p3_spk200_noise_smp7500_lay128,200,noise,7500,128,0.8186666369438171,0.6393333077430725,1.3274335861206055,438
p3_spk200_noise_smp7500_lay192,200,noise,7500,192,0.8113333582878113,0.625333309173584,2.2123894691467285,721

# Completed: Mon Jan 26 12:36:37 AM GMT 2026
p3_spk200_noise_smp5000_lay192,200,noise,5000,192,0.7350000143051147,0.47099998593330383,1.3274335861206055,464
p3_spk200_noise_smp5000_lay128,200,noise,5000,128,0.7350000143051147,0.47099998593330383,1.3274335861206055,464
p3_spk200_noise_smp7500_lay192,200,noise,7500,192,0.8009999990463257,0.6039999723434448,2.1238937377929688,437

# Completed: Mon Jan 26 12:38:24 AM GMT 2026
p3_spk200_noise_smp7500_lay128,200,noise,7500,128,0.737500011920929,0.4790000021457672,5.840707778930664,370
p3_spk200_noise_smp5000_lay192,200,noise,5000,192,0.737500011920929,0.4790000021457672,5.840707778930664,369
p3_spk200_noise_smp7500_lay128,200,noise,7500,128,0.8136666417121887,0.6299999952316284,2.2123894691467285,360
p3_spk200_noise_smp7500_lay192,200,noise,7500,192,0.8136666417121887,0.6299999952316284,2.2123894691467285,361

# Completed: Mon Jan 26 12:49:13 AM GMT 2026
p3_spk200_noise_smp7500_lay192,200,noise,7500,192,0.8119999766349792,0.6259999871253967,2.5663716793060303,287

# Completed: Mon Jan 26 12:54:00 AM GMT 2026
